elapsed [sec],memory usage (rss) [MB]
546,261.36328125
547,263.36328125
548,265.23828125
549,267.23828125
550,294.93359375
551,290.453125
552,302.703125
553,306.578125
554,310.203125
555,314.078125
556,317.953125
557,321.703125
558,326.3125
559,330.8125
560,335.6875
561,339.25390625
562,342.50390625
563,346.37890625
564,349.4296875
565,351.35546875
566,329.515625
567,327.0390625
568,320.609375
569,314.15625
570,292.71875
571,288.14453125
572,280.7109375
573,272.96875
574,272.96875
575,272.96875
576,272.96875
577,272.96875
578,272.96875
579,272.96875
580,272.96875
581,272.96875
582,272.96875
583,274.84375
584,251.65234375
585,253.65234375
586,255.52734375
587,253.5
